Timestamp,Iteration,Repetition,step,field_mean (Tm),field_std,tension (g),current (A),P0_xa (mm),P0_xb (mm),P0_ya (mm),P0_yb (mm),P1_xa (mm),P1_xb (mm),P1_ya (mm),P1_yb (mm),P2_xa (mm),P2_xb (mm),P2_ya (mm),P2_yb (mm),P3_xa (mm),P3_xb (mm),P3_ya (mm),P3_yb (mm),P4_xa (mm),P4_xb (mm),P4_ya (mm),P4_yb (mm),raw_data_idx
20241004_135853,1,3,5,0.4391679918526095,7.033117503223355e-05,1115.471361708826,25.02105161221975,-140.00001934,-140.00000977,-79.99996870999999,-80.00003372999998,-135.00001506,-135.00001918,-79.99996051000002,-80.00000012999999,-144.99997361,-144.99999741,-79.99996710999997,-79.99999413,-135.00002971,-135.00000941,-79.99993120999997,-80.00000992999998,-139.99999492,-139.99999512,-79.99996870999999,-79.99998492999998,18
20241004_135913,1,1,5,0.439551983461048,5.076715991955105e-06,1115.524624031262,25.03790360975987,-130.00001491,-129.9999851,-80.00004020999998,-80.00003483,-125.00000148,-125.00001251,-79.99990991000001,-80.00002562999998,-134.99999065,-134.99997035,-80.00001420999999,-80.00003922999997,-124.9999966,-125.0000174,-80.00003201000001,-80.00003542999997,-129.99997097,-130.00003393,-80.00000121000002,-80.00007883000001,19
20241004_135931,1,2,5,0.4393070263694652,9.25119600756569e-05,1115.579859032307,25.05146268824451,-129.99997585,-129.9999851,-79.99997680999999,-80.00006413,-125.00004055,-124.99999786,-80.00001731,-80.00003542999997,-135.00004924,-135.00000453,-79.99998490999999,-79.99998553,-124.99999172,-124.9999881,-79.99995871000002,-80.00000612999997,-129.99999538,-130.00000951,-79.99997680999999,-80.00000062999999,20
20241004_135949,1,3,5,0.4392865651612727,6.98630619389828e-05,1115.603531175612,25.03212485964894,-130.00000515,-129.99998998,-79.99993280999999,-79.99998603,-125.00003566,-125.00000763,-79.99998321000001,-79.99997682999998,-134.99997112,-134.99999965,-79.99998490999999,-79.99999522999997,-125.00003078,-125.00002716,-79.99998321000001,-80.00002562999998,-130.00003933,-129.99999487,-80.00000601000002,-80.00000553000001,21
20241004_140009,1,1,5,0.4392747618227527,0.0002076592215984487,1115.656793498049,25.01698388867425,-120.00002819,-119.99999965,-79.99999450999999,-80.00004082999999,-115.00002869,-115.00003393,-79.99993751000002,-79.99999252999999,-124.99996242,-124.9999881,-79.99998801000001,-80.00000123000001,-115.00003846,-115.00006322,-79.99999611000001,-80.00002182999998,-119.99999889,-120.00001429,-80.00002380999999,-79.99999202999999,22
20241004_140027,1,2,5,0.4394393759074231,3.830798697367025e-05,1115.715973856311,25.01717758979673,-120.00004772,-120.00002406,-80.00003351000001,-79.99999202999999,-115.00001893,-115.00007299,-80.00004980999998,-80.00000712999997,-125.00001613,-124.99999786,-80.00006620999997,-79.99996702999999,-115.00001405,-115.00004369,-80.00001071,-80.00003153,-119.99998424,-120.00000453,-79.99999930999999,-79.99997252999998,23
20241004_140045,1,3,5,0.4392369807222697,0.0003976624507076883,1115.579859032307,25.01630593473412,-120.00000866,-120.00000941,-79.99998471000001,-79.99997252999998,-115.00001405,-115.00003881,-79.99997650999998,-80.00001202999999,-125.00000637,-124.99999786,-80.00003201000001,-79.99999632999999,-115.00000428,-115.00002905,-80.00002050999998,-80.00001693000002,-120.00002819,-120.00001918,-80.00001401,-79.99998712999997,24
20241004_140105,1,1,5,0.4395095524497228,0.0003377566822448001,1115.51278795961,25.04290755539092,-110.00004787,-110.00000971,-80.00001711000002,-80.00002723,-105.00006277,-105.0000559,-79.99999420999998,-80.00000342999999,-114.99998475,-114.99999975,-80.00001561000002,-80.00000712999997,-104.9999993,-105.00000707,-79.99999420999998,-79.99999363000001,-110.00001369,-109.99996577,-79.99999761000001,-79.99998822999999,25
20241004_140123,1,2,5,0.4396560836653904,6.970170989422972e-05,1115.522651352654,25.02818627017874,-110.00002834,-109.99999018,-79.99999270999999,-79.99998822999999,-104.99994559,-105.0000852,-79.99999420999998,-80.00000833000001,-114.9999701,-114.99997533,-80.00001071,-80.00000712999997,-104.99997977,-104.99998754,-80.00000400999997,-80.00000833000001,-110.00001857,-109.99999995,-80.00001711000002,-79.99999313000001,26
20241004_140141,1,3,5,0.4393996898918606,4.39093842893639e-05,1115.641012069178,25.03051068363824,-109.99997463,-110.00000483,-80.00001711000002,-79.99999313000001,-105.00004324,-105.00004125,-80.00002841,-80.00002293,-115.00001405,-114.99999975,-79.99998631000003,-79.99999743000001,-104.99995047,-105.00001195,-79.99999911,-80.00003272999999,-109.99996974,-109.99997065,-80.00000241000001,-79.99999793000001,27
20241004_140201,1,1,5,0.4406154326360781,0.0002503006554860541,1115.579859032307,25.03838786256226,-100.00000423,-100.00000468,-80.00003481000002,-80.00004302999997,-94.99996028,-95.00000229,-79.99993560999999,-79.99997562999999,-105.00004324,-104.99999242,-80.00000400999997,-79.99998872999998,-94.9999847,-94.99997787,-80.00001861000001,-79.99999022999998,-99.99999935,-99.99995096999999,-80.00003970999998,-79.99997463,28
20241004_140219,1,2,5,0.4405910963432828,0.0001228548835235304,1115.73175528518,25.01672562051369,-100.00003353,-99.99998026999999,-80.00004461,-79.99998933000001,-95.00002864,-95.00002669999999,-80.00002830999998,-79.99999513,-104.99993093,-105.00000219,-80.00001861000001,-79.99998392999998,-95.00000423,-95.00003647,-79.99997950999997,-79.99999513,-100.00005794,-99.99999002999999,-80.00004941,-79.99996983,29
20241004_140237,1,3,5,0.440834375435524,0.000215830810028993,1115.753454749877,25.02063192645812,-100.00005794,-99.99999491,-80.00002011000001,-79.99997463,-95.00002375999999,-95.00002181999999,-80.00001861000001,-80.00000002999997,-104.99996511,-105.00000707,-79.99999911,-79.99998392999998,-94.99998957999999,-95.00003158999999,-80.00001861000001,-79.99999513,-100.00006282,-99.99998514999999,-80.00002500999997,-79.99996983,30
20241004_140257,1,1,5,0.4413388337402457,0.0001240711606720447,1115.769236178747,25.04129337938238,-90.00001908,-90.00008774,-80.00001711000002,-80.00002052999997,-84.99999461,-84.99999007999999,-80.00002050999998,-79.99998742999998,-95.00004817,-95.00001205,-79.99999900999998,-79.99999022999998,-85.00005320999999,-85.00008285,-80.00001081000002,-80.00000692999998,-90.00005326,-90.00001449,-79.99997800999998,-80.00000592999999,31
20241004_140315,1,2,5,0.4408636496949805,0.0001257221771189846,1115.656793498049,25.02582957320899,-89.99999466999999,-89.99999984999999,-79.99998781000002,-79.99998633000001,-85.00002391,-85.00004378999999,-80.00001570999999,-80.00001183000001,-95.00004817,-95.00005599999999,-79.99999900999998,-79.99999513,-84.99997508,-84.99999007999999,-80.00002541000001,-79.99996303,-90.0000142,-90.00003402999999,-80.00000730999997,-79.99995702999996,32
20241004_140333,1,3,5,0.4406092433466935,0.0002623775452177394,1115.654820819439,25.03254454540875,-90.00004838,-89.99999007999999,-79.99999761000001,-79.99994733,-84.9999995,-85.00000960999999,-80.00003030999997,-80.00002162999999,-94.9999847,-94.99997298999999,-80.00003321,-79.99996092999999,-84.9999995,-85.00002425999999,-80.00000100999998,-79.99998742999998,-89.99993119,-90.00000472999999,-79.99998291,-79.99999122999998,33
20241004_140353,1,1,5,0.4417575853609493,0.0001643175177659489,1114.747388659415,25.02754059978046,-80.00003346999999,-80.00004872999999,-80.00002891,-80.00010072999999,-75.00000981999999,-75.00000233999999,-80.00000300999997,-79.99995523000001,-84.99997019999999,-85.00002425999999,-79.99997661,-79.99997282999999,-75.00001958999999,-75.00001209999999,-80.00000300999997,-79.99999432999999,-79.99998952999999,-79.99999012999999,-79.99999470999998,-79.99998842999997,34
20241004_140411,1,2,5,0.4413207035812031,0.0001783817520750618,1115.59169510396,25.03196344204467,-79.99997975999999,-79.99999500999999,-79.99999470999998,-80.00001772999997,-75.00006841999999,-75.00003651999999,-80.00001770999998,-80.00002853000001,-85.00003368,-85.00000960999999,-79.99999120999999,-79.99998253000001,-75.00000005999999,-75.00008046999999,-79.99998840999999,-80.00002362999999,-80.00001393999999,-79.99999989999999,-79.99998490999999,-79.99998353000001,35
20241004_140429,1,3,5,0.4413128531998395,0.0001589421937499839,1115.571968317872,25.03829101200209,-80.00000906,-79.99998036999999,-79.99999961,-79.99998353000001,-75.00000981999999,-75.00001698999999,-80.00000790999999,-80.00000403000001,-84.99998484999999,-85.00001449,-79.99998150999997,-79.99999722999996,-74.99995122999999,-75.00001209999999,-80.00000300999997,-79.99999432999999,-79.99996023,-80.00000965999999,-79.99998981000002,-79.99998842999997,36
20241004_140449,1,1,5,0.4418150285500769,0.0002916518700069839,1115.439798851086,25.02602327433008,-69.99996521,-70.00003407,-80.00001140999998,-80.00006363,-65.00003597,-65.00000950999998,-80.00002461,-80.00000123000001,-74.99999029,-74.99999256999999,-79.99997861,-80.00000892999998,-64.99997736999998,-65.00002415999998,-80.00003440999998,-80.00003053,-70.00000915999999,-70.00000477999998,-79.99999670999998,-80.00002942999998,37
20241004_140507,1,2,5,0.4420585186469561,0.0004527221638831165,1115.388509207258,25.02066420997339,-70.00006286999999,-70.00003895999998,-79.99999181000001,-79.99994642999997,-65.00000179,-64.99993627000001,-80.00002951000002,-80.00002562999998,-75.00000981999999,-74.99997303999999,-79.99998351000002,-79.99998942999997,-65.00006038000001,-65.00000462999998,-80.00001970999998,-80.00001103,-70.00000915999999,-70.00006336999999,-79.99999181000001,-79.99999042999997,38
20241004_140525,1,3,5,0.4416400734373719,0.0002704686391025711,1115.40231795752,25.01055946810978,-69.99998474999998,-69.99999500999999,-79.99998701000001,-79.99997083,-65.00003108999999,-65.00001928,-80.00003440999998,-80.00001103,-75.00000005999999,-74.99997303999999,-79.99998351000002,-80.00002362999999,-65.00004085,-65.00000462999998,-80.00003440999998,-80.00001103,-70.00002380999999,-70.00001942999998,-79.99998210999999,-80.00000012999999,39
20241004_140545,1,1,5,0.4417117805184486,6.592645129325585e-05,1115.538432781524,25.02860595594385,-60.00001871999999,-60.00007822999999,-79.99998901000001,-79.99999242999996,-54.99998718999998,-54.99999517000001,-80.00003151000001,-79.99999822999996,-64.99996761,-64.99991186,-80.00001481000001,-80.00004032999999,-55.00002136999998,-55.00001957999999,-80.00001690999997,-80.00001782999999,-59.99994548000001,-59.99998056999999,-79.99998901000001,-79.99999732999999,40
20241004_140603,1,2,5,0.4418450621428205,3.967515173346672e-05,1115.824471179792,25.02111617926019,-60.00006267000001,-59.99997568000001,-79.99998901000001,-79.99998762999996,-55.00003601999998,-54.99995609999999,-80.00003151000001,-79.99999822999996,-65.00001644,-64.99996557,-79.99999531,-79.99996212999997,-55.00001159999999,-54.99997562999999,-80.00003151000001,-80.00002273000001,-59.99995036999999,-59.99998545,-79.99999381000001,-80.00002173000001,41
20241004_140620,1,3,5,0.4416872667870568,0.000247963366266889,1115.477279744652,25.03693510415422,-60.00000896,-60.00001474999999,-79.99997921000002,-79.99999732999999,-55.00009460999999,-55.00005865,-80.00000221000002,-79.99998853,-64.99999689999999,-65.00001928,-79.99999040999998,-79.99998653,-55.00001159999999,-55.00001957999999,-80.00003151000001,-80.00002273000001,-59.99997966000001,-59.9999708,-79.99999870999997,-79.99998762999996,42
20241004_140641,1,1,5,0.441980871456231,1.26377519982233e-05,1115.43388081526,25.01779097668053,-50.00003362999999,-50.00011194999999,-79.99999101,-80.00007742999998,-45.00004847,-45.00001713999998,-80.00001401,-79.99998562999997,-54.99992859,-55.00001957999999,-79.99998271000001,-79.99995432999998,-45.00003870999998,-45.00000736999999,-80.00004331,-80.00001982999999,-50.00002386,-49.99999475999999,-79.99995680999999,-79.99997002999999,43
20241004_140658,1,2,5,0.4421649639393832,2.759867305960198e-05,1115.564077603437,25.02502248520376,-50.00001409000001,-49.99998499,-80.00000080999999,-80.00001392999997,-45.00003383000001,-44.99998783999999,-79.99999450999999,-79.99999543000001,-55.00004579,-55.00000494,-79.99998760999998,-79.99998362999997,-45.00007776999999,-44.9999732,-79.99999450999999,-79.99998562999997,-49.99994085,-50.00000452999998,-80.00000080999999,-79.99994072999999,44
20241004_140716,1,3,5,0.4426679637771633,1.950436925392166e-05,1115.838279930053,25.03593431502911,-49.99993597,-50.00000940999999,-80.00000080999999,-79.99991623,-45.00001917999998,-44.99997808000001,-79.99999450999999,-80.00002962999997,-55.00003113,-55.00002445999999,-80.00001201000001,-80.00001782999999,-45.00004358999999,-45.00000248999999,-79.99999930999999,-79.99999052999999,-49.9999555,-50.00003382,-79.99999101,-79.99995532999998,45
20241004_140736,1,1,5,0.4429918179166971,0.0001808070087223555,1115.349055635083,25.02095476165912,-40.00008749,-40.00009693999999,-80.00003210999998,-80.00006482999999,-34.99998495,-35.00001942999998,-79.99999650999999,-79.99994872999997,-44.99996547000001,-45.00000736999999,-79.99997001,-79.99998562999997,-35.00001424999999,-34.99997547999999,-80.00001601,-79.99999263000001,-39.99997518000001,-39.99992115999999,-80.00000280999998,-80.00004043000001,46
20241004_140754,1,2,5,0.442779366761081,0.0002069237306875794,1115.613394568656,25.02424768071886,-40.00000448,-39.99997974999999,-80.00000280999998,-80.00000623,-34.99999470999998,-34.99999012999999,-80.00001110999997,-80.00002193,-44.99996059,-45.00000736999999,-80.00001891000002,-79.99992213000002,-35.00003866,-34.99997547999999,-79.99999650999999,-79.99995842999999,-39.99998983,-40.00001394,-80.00002230999999,-80.00004043000001,47
20241004_140812,1,3,5,0.4425836427081057,0.0003555452486515898,1114.982137413856,25.03984062097364,-39.99996542,-39.99991138999999,-80.00001260999997,-80.00007942999997,-34.99999470999998,-34.99997547999999,-80.00002580999998,-80.00003172999999,-44.99995569999999,-45.00003178999998,-79.99996030999998,-80.00003452999999,-35.00000448,-34.99996572000001,-79.99999161000002,-79.99998772999999,-40.00000936999999,-40.00006765000001,-79.99996861000002,-79.99993782999996,48
20241004_140832,1,1,5,0.4433504995088938,4.419190813074866e-05,1115.297765991256,25.03286738061275,-29.99997532999998,-30.00004414999998,-80.00002921000001,-79.99999852999997,-24.99999216999998,-24.99998535,-79.99993500999997,-80.00001413000001,-35.00003866,-35.00001455,-79.99998180999998,-79.99995842999999,-24.99999704999999,-24.99996092999999,-79.99993011000001,-80.00002882999996,-29.99995579999998,-29.99994648999999,-79.99999991000001,-80.00001313000001,49
20241004_140850,1,2,5,0.4431429384480196,0.0001875240111468364,1115.13403366673,25.02537760392664,-29.99998022,-29.99999531999998,-80.00002430999999,-80.00003763000001,-24.99998239999999,-25.00012694999998,-80.00000821,-79.99995552999997,-34.99997518000001,-35.00000477999998,-79.99998671,-79.99998772999999,-25.00001659,-24.99997070000001,-79.99996431000002,-79.99999952999997,-29.9999851,-29.99995625,-79.99997550999998,-79.99997902999996,50
20241004_140908,1,3,5,0.4432132564586458,0.0002009497788154538,1115.721891892137,25.02211696838681,-29.99996557,-29.99999044,-79.99997550999998,-79.99997902999996,-25.00002634999998,-25.00000488000001,-79.99998871,-79.99997502999997,-34.99998983,-35.00002430999999,-79.99997211000002,-79.99995842999999,-25.00007517999998,-25.00006834999999,-79.99999850999998,-79.99997022999997,-30.00001928,-30.00003437999999,-80.00002921000001,-79.99997413,51
20241004_140928,1,1,5,0.443287929822609,0.0002212760505930402,1115.485170459087,25.01801696132103,-20.00000442999999,-20.00008799,-80.00002630999998,-80.00000542999999,-14.99999736000001,-14.99999044,-80.00001520999999,-80.00003572999998,-25.00002147000001,-24.99995117,-80.00004241000002,-80.00003362999996,-15.00000711999999,-14.99998066999999,-80.00000061,-80.00000152999996,-19.99994096,-20.00005869,-80.00006051,-80.00002493,52
20241004_140946,1,2,5,0.4434387742868839,0.0001639054399841307,1115.392454564476,25.01227049472608,-20.00001419,-19.99999520999998,-80.00001661000002,-80.00007373,-15.00002665,-14.99999044,-80.00000061,-80.00000642999998,-24.99996288,-25.00004393999998,-79.99996431000002,-79.99992622999997,-14.99998270999998,-15.00000507999999,-80.00000541,-80.00000642999998,-20.00002395999999,-20.00000009999999,-79.99999700999999,-79.99999563,53
20241004_141004,1,3,5,0.4432432001463808,0.0002536069859216493,1115.252394383255,25.01798467779916,-19.99997024999999,-20.00001474999999,-79.99998731000002,-80.00001513000001,-14.99997783000001,-15.00001484000001,-80.00000061,-80.00000152999996,-25.00001169999999,-24.99996582,-79.99995941,-79.99994572999998,-15.00002176999999,-15.00004902999999,-80.00001520999999,-80.00000152999996,-19.99997024999999,-19.99995127,-79.99998731000002,-79.99999563,54
20241004_141024,1,1,5,0.4440370846128129,0.0001674423702763474,1116.88379959269,25.02169728262461,-9.999999489999993,-10.00005812999999,-79.99998940999998,-80.00002202999997,-4.999987439999984,-4.999989769999985,-79.99999281000001,-79.99996942999996,-14.99999248,-15.00001484000001,-79.99994201000001,-80.00001133000001,-4.999977669999993,-4.999994649999991,-80.00001720999998,-80.00000353000001,-10.00000437,-9.999965360000004,-80.00000890999999,-80.00001233,55
20241004_141042,1,2,5,0.4432719234820972,3.000711143256573e-05,1114.62902794289,25.01498231040918,-10.00000437,-9.999931180000004,-80.00001381000001,-80.00002202999997,-5.000021619999984,-5.000063009999991,-80.00003181000002,-80.00003772999997,-14.99993387999999,-14.99994160999998,-80.00004941,-80.00006993,-5.000036269999981,-5.000087429999979,-80.00003181000002,-80.00002792999999,-10.00002390999998,-9.999955589999985,-79.99999911,-80.00004163,56
20241004_141100,1,3,5,0.4434581218176352,0.0003296501684835411,1115.053153843771,25.02599099080977,-10.00002390999998,-9.999955589999985,-80.00000890999999,-80.00000252999996,-4.99999231999999,-5.000023949999985,-80.00002211,-80.00000353000001,-15.00000711999999,-15.00011250999998,-79.99997611000001,-80.00001613000001,-4.99999231999999,-5.000048359999994,-80.00005631000002,-80.00004752999996,-10.00000437,-9.999945830000001,-80.00002350999998,-80.00002202999997,57
20241004_141120,1,1,5,0.4439381195305814,9.160781042758748e-05,1115.422044743607,25.02105161221853,1.953000000298744e-05,-0.0001269499999807522,-80.00005001000002,-80.00005842999997,4.999961140000011,4.999998020000021,-79.99995991,-79.99998273,-4.999982560000007,-5.000014190000002,-80.00001720999998,-80.00002312999999,4.999990429999997,4.999954080000009,-80.00004291000002,-80.00002182999998,-4.880000005869078e-06,2.929999999423671e-05,-80.00001581000001,-80.00001452999999,58
20241004_141138,1,2,5,0.4440968790766686,0.000122246607649398,1114.873640090375,25.029994147314,-4.880000005869078e-06,1.464999999711836e-05,-80.00005001000002,-80.00001932999999,5.000005090000002,5.000017549999995,-80.00001850999999,-79.99998762999996,-4.999982560000007,-4.999989769999985,-80.00004161000001,-80.00001333,4.99997578,4.999919900000009,-79.99999900999998,-80.00001202999999,4.880000005869078e-06,4.395000001977678e-05,-80.00002560999999,-80.00004382999998,59
20241004_141155,1,3,5,0.4433354066122274,0.0003834265827957322,1114.891394197854,25.02440909832083,-1.953999998249856e-05,5.860000001689514e-05,-80.00002070999997,-79.99999013000001,4.999961140000011,4.999944310000018,-79.99999900999998,-80.00000712999997,-5.000016740000007,-4.999999540000005,-80.00000250999997,-79.99999382999999,5.000000200000017,4.999963840000021,-80.00000871,-79.99996813000001,1.464999999711836e-05,3.419000000803862e-05,-80.00001090999999,-79.99993152999997,60
20241004_141216,1,1,5,0.4445168995174384,0.0001572228960735752,1114.780924195764,25.02737918217868,10.00000498,9.999926909999999,-79.99998241,-79.99995093000001,14.99994893000002,15.00007818,-79.99999010999997,-80.00005103000001,4.999966020000016,4.999993130000007,-80.00000871,-79.99996813000001,15.00001241000001,14.99997564,-79.99999991000001,-79.99996322999999,10.00007822000001,9.999990389999994,-80.00000191000001,-80.00000473,61
20241004_141233,1,2,5,0.4447132468522776,0.000152565794349868,1114.747388659415,25.04510283476588,10.00005869,10.00000504000002,-80.00002150999998,-80.00003882999999,15.00001729000002,15.00000006000002,-80.00001451,-79.99996322999999,4.999995320000011,5.000007790000012,-80.00001361000002,-79.99999252999999,14.99998312,15.00003912,-80.00002921000001,-80.00004132999999,9.9999708,10.00000016000001,-80.00001171,-79.99996562999996,62
20241004_141251,1,3,5,0.4444239712275574,0.0001849558067790167,1114.757252052459,25.01275474752938,10.00001963,10.00006363,-80.00002150999998,-79.99999002999999,14.99997823000001,15.00004889000002,-79.99999991000001,-79.99999732999999,4.999980670000014,4.999988250000001,-79.99999411000002,-80.00003642999997,14.99999776000001,15.00004889000002,-79.99999500999999,-79.99996322999999,10.00000009999999,10.00003922000002,-79.99997750999998,-80.00003392999997,63
