Timestamp,Measurement,Iteration,field (Tm),std,glTF  (Tm/kA),current
20241004_143035,scan_YCO,1,0.002350244644336473,0.0001562874325036944,0.09389805970108789,25.02974664032641
20241004_143131,scan_YCO,1,0.002218787443764374,0.000272467969930164,0.08867777961837986,25.02078258288388
20241004_143227,scan_YCO,1,0.00151021370183269,7.644115570161178e-05,0.06033112679151182,25.03208181494078
20241004_143323,scan_YCO,1,0.001513254563639339,0.0004562840981440664,0.06045671180214991,25.03038154955569
20241004_143419,scan_YCO,1,0.0006881508951326448,0.0004428643434257146,0.02748743717124159,25.03510570467495
20241004_143515,scan_YCO,1,0.0007570191130942308,0.0002068416096961563,0.03024858775005436,25.02659361651918
20241004_143611,scan_YCO,1,8.08282178744994e-05,0.000625939265141354,0.003229757029180298,25.02609860253585
20241004_143707,scan_YCO,1,-1.438610882402696e-06,0.0004729307999694362,-5.748447420635017e-05,25.02607708019666
20241004_143804,scan_YCO,1,-0.0004364143899287486,0.0006227842818458677,-0.01744344134913496,25.01882404932618
20241004_143900,scan_YCO,1,-0.0003598148415206609,0.0002705624598044054,-0.01437773264405945,25.02584033438181
20241004_143956,scan_YCO,1,-0.001256195727545814,0.0004551552161213117,-0.05019169413783621,25.02796028554156
20241004_144052,scan_YCO,1,-0.001381374116913595,4.969108942705933e-05,-0.05520804818523802,25.02124531334107
20241004_144148,scan_YCO,1,-0.001804782405784288,0.0003153977842341664,-0.07210608939418951,25.02954217802474
20241004_144244,scan_YCO,1,-0.002238916277620779,0.000325953138186651,-0.08948726758022697,25.01938363034216
20241004_144340,scan_YCO,1,-0.002721529726520592,0.000305440844830941,-0.1087087711070346,25.03505189881113
20241004_144436,scan_YCO,1,-0.002535486420357849,0.0005975028711317691,-0.1012751944325684,25.03561147982825
20241004_152201,scan_YCO,1,-0.00251313830928968,8.327812549868111e-05,-0.1003314804162872,25.04835270906371
20241004_152257,scan_YCO,1,-0.002094776451437142,0.0001134040655541444,-0.08369244797091301,25.02945608862072
20241004_152353,scan_YCO,1,-0.001756963008220632,6.019494139201249e-05,-0.07018316941797104,25.03396502026233
20241004_152449,scan_YCO,1,-0.001464416589770391,2.032986995063176e-05,-0.05849288965095668,25.03580518091979
20241004_152545,scan_YCO,1,-0.001102402926210762,8.548184074168401e-05,-0.04403895854096912,25.03244769481105
20241004_152641,scan_YCO,1,-0.0008261988006634441,0.0001804500245568269,-0.03299589445993465,25.03944245750507
20241004_152738,scan_YCO,1,-0.0004692199190236053,0.0001434634473523254,-0.01876107437346326,25.01029043876596
20241004_152834,scan_YCO,1,-4.28270636007816e-07,7.654765808476131e-05,-1.711581605594341e-05,25.02192326722864
20241004_152930,scan_YCO,1,0.0001740606280261236,0.000138283308314943,0.006956848494078763,25.02004006185749
20241004_153026,scan_YCO,1,0.0007410610137817273,0.0001012588275366555,0.0296054045136226,25.03127472690792
20241004_153122,scan_YCO,1,0.001164536681202332,0.0001382785236941144,0.04650753186141943,25.0397437703715
20241004_153218,scan_YCO,1,0.001347351565814906,8.011625783022941e-05,0.05382702681587235,25.03113483164935
20241004_153314,scan_YCO,1,0.001739635842300923,0.0001834064429941046,0.06950398983139904,25.02929467100934
20241004_153410,scan_YCO,1,0.002074396437409118,0.0001559619594431684,0.08289039495508094,25.02577576730395
20241004_153506,scan_YCO,1,0.002344866510914226,4.620780309449674e-05,0.09369906213948406,25.02550673798171
20241004_153603,scan_YCO,1,0.002697754392501442,0.000123467437890743,0.107771736014538,25.03211409842676
